name,colname1,colname2,colname3,colname4,colname5,colname6,colname7,colname8,colname9,colname10,colname11,colname12,colname13,colname14,colname15,colname16,colname17,colname18,colname19,colname20,colname21,colname22,colname23,colname24,colname25,colname26,colname27,colname28,colname29,colname30,colname31,colname32,colname33,colname34,colname35,colname36,colname37,colname38
rowname1,0,0,0,0,0,0,0,0,0,0,0,540,540,420,870,450,780,421,422,540,618,470,0,0,0,0,0,0,0,0,0,0,29,35,0,0,58,0
rowname2,0,0,0,147,0,0,126,182,0,0,103,140,120,540,28,50,55,540,40,50,68,86,0,0,0,0,0,0,0,0,134,0,0,47,0,0,0,51
rowname3,0,52,334,42,0,197,0,0,0,0,213,0,91,0,54,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,143,0,25,0,0,365
rowname4,139,134,184,109,0,0,43,0,0,324,0,0,0,262,0,214,0,196,0,32,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rowname5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,734,0,0,0,238,0,0
rowname6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
rowname7,214,156,137,96,180,122,197,165,194,182,147,154,194,215,45,211,136,185,201,178,182,157,270,250,306,333,295,298,329,348,131,189,252,205,248,164,209,176
rowname8,449,381,381,392,341,350,419,326,364,287,342,365,406,380,108,354,441,380,438,457,369,329,0,0,0,0,0,0,0,0,412,386,361,331,426,354,432,368
rowname9,162,125,165,130,156,136,184,134,173,169,116,94,122,145,53,165,151,145,156,123,170,160,0,0,0,0,0,0,0,0,122,194,175,149,147,212,188,172
rowname10,235,222,191,238,245,215,164,210,244,190,250,152,160,217,63,235,225,175,184,207,186,192,0,0,0,0,0,0,0,0,218,193,214,191,230,161,194,196
rowname11,213,198,141,170,195,274,172,165,176,187,192,178,163,227,41,211,213,183,230,195,154,213,0,0,0,0,0,0,0,0,193,153,217,289,249,185,235,168
rowname12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,180,158,145,120,120,171,170
rowname13,10,10,10,10,20,10,10,10,10,20,10,20,20,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,200,120,189,123,84,920,150,150
rowname14,10,10,10,10,20,20,10,10,20,20,10,10,10,20,20,210,20,210,120,10,20,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rowname15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,475
rowname16,20,10,10,320,20,230,120,210,210,12,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0
rowname17,20,210,120,30,210,20,20,40,10,20,20,210,10,20,20,20,30,40,10,20,30,20,0,0,0,0,0,0,0,0,0,0,0,174,130,0,247,0
rowname18,0,310,210,0,10,40,210,120,430,10,10,20,20,30,120,20,12,120,30,120,20,120,0,0,0,0,0,0,0,0,87,0,0,0,0,0,190,0
rowname19,20,10,30,0,120,20,0,120,10,0,210,40,10,10,210,110,120,120,20,30,20,10,0,0,0,0,0,0,0,0,0,0,263,76,67,0,0,0
rowname20,0,0,0,10,0,20,0,0,20,10,10,30,120,30,20,10,20,10,20,20,20,20,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0
rowname21,18,20,20,20,30,75,111,10,20,20,110,120,295,110,120,120,240,120,210,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rowname22,40,40,60,255,120,70,192,56,20,405,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rowname23,230,420,120,445,20,210,210,120,120,120,110,10,10,10,12,41,10,10,30,20,20,30,0,0,0,0,0,0,0,0,8,0,0,54,235,1,0,0
rowname24,10,126,210,450,20,450,309,210,204,120,147,10,12,10,10,20,10,20,20,120,20,10,0,0,0,0,0,0,0,0,66,0,0,66,0,0,108,0
rowname25,201,148,100,44,120,158,1020,21,164,140,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
